Track ID,Start Time,End Time
2,2025-05-04 17:15:52,2025-05-04 17:15:53
1,2025-05-04 17:15:50,2025-05-04 17:16:05
4,2025-05-04 17:16:10,2025-05-04 17:16:13
5,2025-05-04 17:16:14,2025-05-04 17:16:15
6,2025-05-04 17:16:14,2025-05-04 17:16:15
7,2025-05-04 17:16:15,2025-05-04 17:16:16
3,2025-05-04 17:16:08,2025-05-04 17:16:18
9,2025-05-04 17:16:20,2025-05-04 17:16:20
8,2025-05-04 17:16:17,2025-05-04 17:16:22
11,2025-05-04 17:16:23,2025-05-04 17:16:24
10,2025-05-04 17:16:21,2025-05-04 17:16:26
12,2025-05-04 17:16:27,2025-05-04 17:16:28
13,2025-05-04 17:16:34,2025-05-04 17:16:34
14,2025-05-04 17:16:35,2025-05-04 17:16:37
15,2025-05-04 17:16:38,2025-05-04 17:16:38
16,2025-05-04 17:16:38,2025-05-04 17:16:39
17,2025-05-04 17:16:38,2025-05-04 17:18:39
18,2025-05-04 17:18:39,2025-05-04 17:18:40
20,2025-05-04 17:18:39,2025-05-04 17:18:40
21,2025-05-04 17:18:40,2025-05-04 17:18:41
19,2025-05-04 17:18:39,2025-05-04 17:18:48
